time,position,direction
10681122.125413,0,
10684919.484244,-1,L
10692212.094851,-2,L
10696806.29273,-1,R
10723631.88506,-2,L
10725976.845417,-1,R
10726247.915129,0,R
10726541.025035,1,R
10727355.003087,2,R
10728382.375587,1,L
10729522.716889,0,L
10729579.806395,-1,L
10729668.886556,-2,L
10729692.143854,-3,L
10729713.362804,-4,L
10729739.930904,-5,L
10730252.404749,-4,R
10730358.844978,-5,L
10730464.130897,-4,R
10730504.525896,-3,R
10730555.43116,-2,R
10730838.113547,-1,R
10731020.896256,-2,L
10731085.390628,-3,L
10731353.576945,-2,R
10732080.662143,-3,L
10732113.147195,-4,L
10732168.229688,-3,R
10732912.886268,-2,R
10737812.363838,-3,L
10737909.744628,-2,R
10744126.844281,-1,R
10754918.983314,0,R
10755079.897216,1,R
10755440.282487,0,L
10755515.798659,1,R
10755791.865458,0,L
10755891.040108,-1,L
10756037.170869,0,R
10756357.056344,-1,L
10759200.546566,0,R
10759295.961017,1,R
10759329.757972,2,R
10759354.059474,3,R
10759373.052584,4,R
10759389.697539,5,R
10759407.255031,6,R
10759423.234389,7,R
10759442.714434,8,R
10759466.221897,9,R
10759583.652378,10,R
10759615.641778,11,R
10759644.741107,12,R
10759675.900154,13,R
10759711.772178,14,R
10759943.394226,13,L
10759988.702983,12,L
10760048.395519,11,L
10760276.612156,10,L
10760981.967422,11,R
10761353.477864,12,R
10761557.897509,13,R
10761635.118852,14,R
10761710.588788,15,R
10762035.589814,16,R
10762718.295013,17,R
10765038.749197,18,R
10765857.975444,17,L
10765892.727251,16,L
10767315.873014,17,R
10769078.647284,18,R
10769164.572156,19,R
10769381.001451,20,R
10770654.470187,21,R
10776050.203856,20,L
10776144.845738,19,L
10776403.769839,18,L
10780249.596083,19,R
10781744.649289,20,R
10788251.279812,21,R
10791105.1236,20,L
10791557.867497,19,L
10791578.741239,18,L
10791606.002776,17,L
10792547.107293,16,L
10792844.680647,15,L
10793032.687748,14,L
10793238.890201,13,L
10793702.565584,12,L
10795042.687755,13,R
10795760.643731,12,L
10795906.435137,11,L
10795979.041346,12,R
10796027.188034,13,R
10796329.824234,12,L
10796562.93242,13,R
10796826.5201,12,L
10797011.886091,11,L
10797050.518084,10,L
10797161.72999,11,R
10797937.426762,12,R
10799232.179862,11,L
10799307.276021,12,R
10799762.179984,13,R
10804382.829429,12,L
10809737.992448,11,L
10810707.318932,10,L
10812569.641662,11,R
10824809.580519,12,R
10824928.536337,13,R
10825265.695396,14,R
10825784.160107,13,L
10825966.728734,12,L
10834920.235061,13,R
10835425.370025,14,R
10836165.189575,13,L
10836220.565977,12,L
10836255.387942,11,L
10836285.672257,10,L
10836771.89592,9,L
10836860.142419,8,L
10836958.926595,9,R
10837603.663824,10,R
10837884.563608,9,L
10837923.418659,8,L
10838117.3064,7,L
10838223.302116,6,L
10838473.026307,5,L
10839847.98009,6,R
10841466.397145,7,R
10843143.768007,8,R
10843529.531316,9,R
10848980.221968,10,R
10857816.679488,11,R
10857941.00766,12,R
10858567.912746,11,L
