time,position,direction
7614440.10525,0,
7618603.531349,1,R
7621992.525018,2,R
7622284.848198,3,R
7623370.026418,4,R
7627190.709822,5,R
7627209.323662,6,R
7627222.864856,7,R
7627236.400698,8,R
7627250.686545,9,R
7627266.541122,10,R
7627285.317015,11,R
7627302.710618,12,R
7627315.29433,13,R
7627325.017002,14,R
7627333.474364,15,R
7627340.912374,16,R
7627347.753655,17,R
7627354.423939,18,R
7627361.488104,19,R
7627369.64712,20,R
7627379.748748,21,R
7627425.701249,20,L
7627446.255516,19,L
7627484.447939,20,R
7627495.929078,21,R
7627502.681934,22,R
7627511.444587,23,R
7627520.809099,24,R
7627533.703471,25,R
7627656.095594,24,L
7627879.717268,23,L
7627993.691473,24,R
7628025.944894,25,R
7628101.718214,26,R
7628116.405182,27,R
7628126.181501,28,R
7628134.064504,29,R
7628141.529162,30,R
7628148.802323,31,R
7628156.178409,32,R
7628163.802249,33,R
7628171.874155,34,R
7628180.716936,35,R
7628191.185427,36,R
7628204.95708,37,R
7628229.635882,38,R
7628317.880119,39,R
7628336.391257,40,R
7628350.431368,41,R
7628365.065245,42,R
7628390.269408,43,R
7628437.942748,42,L
7628520.298908,43,R
7628646.732863,44,R
7628662.653254,45,R
7628674.780937,46,R
7628687.22028,47,R
7628701.530386,48,R
7628781.690161,47,L
7628962.488258,48,R
7628974.010748,49,R
7628981.646144,50,R
7628987.8474,51,R
7628993.313724,52,R
7628998.285077,53,R
7629002.985971,54,R
7629007.537665,55,R
7629012.047785,56,R
7629016.460425,57,R
7629021.016304,58,R
7629025.743716,59,R
7629030.733217,60,R
7629036.0566,61,R
7629041.67657,62,R
7629047.868733,63,R
7629055.034952,64,R
7629064.347261,65,R
7629081.068729,66,R
7629135.896696,65,L
7629244.860123,66,R
7629261.480481,67,R
7629274.358947,68,R
7629285.979954,69,R
7629296.651775,70,R
7629306.883733,71,R
7629316.963565,72,R
7629327.259004,73,R
7629338.158358,74,R
7629350.73494,75,R
7629365.909326,76,R
7629416.885289,75,L
7629525.044139,76,R
7629566.79481,77,R
7629599.246209,78,R
7629636.318801,79,R
7629660.972881,80,R
7629674.738256,81,R
7629685.080916,82,R
7629693.741478,83,R
7629701.723886,84,R
7629708.302598,85,R
7629714.858939,86,R
7629721.005085,87,R
7629727.204674,88,R
7629732.855699,89,R
7629738.769515,90,R
7629744.623129,91,R
7629750.745775,92,R
7629757.078602,93,R
7629763.648499,94,R
7629770.995678,95,R
7629779.764886,96,R
7629793.220711,97,R
7629862.559019,98,R
7629897.339116,99,R
7629910.516057,100,R
7629920.782256,101,R
7629929.625889,102,R
7629937.525576,103,R
7629944.789293,104,R
7629951.669092,105,R
7629958.211489,106,R
7629964.53302,107,R
7629970.828422,108,R
7629977.212304,109,R
7629983.864607,110,R
7629990.84607,111,R
7629998.179434,112,R
7630005.95429,113,R
7630014.164509,114,R
7630023.140528,115,R
7630033.339321,116,R
7630045.114936,117,R
7630059.466337,118,R
7630171.458004,119,R
7630190.437282,120,R
7630203.902126,121,R
7630214.606668,122,R
7630223.752091,123,R
7630231.722444,124,R
7630238.988439,125,R
7630245.896237,126,R
7630252.521837,127,R
7630259.08166,128,R
7630265.005791,129,R
7630270.901367,130,R
7630276.552095,131,R
7630281.997698,132,R
7630287.327266,133,R
7630292.707407,134,R
7630298.246323,135,R
7630303.908681,136,R
7630309.576354,137,R
7630315.113067,138,R
7630320.552392,139,R
7630326.070271,140,R
7630331.783554,141,R
7630337.53217,142,R
7630343.275008,143,R
7630349.540781,144,R
