time,position,direction
14521957.496007,0,
14522935.039479,1,R
14525898.792092,2,R
14529655.727855,3,R
14530799.765608,4,R
14530854.99366,5,R
14530998.34779,6,R
14531017.082313,7,R
14531033.188036,8,R
14531048.355536,9,R
14531063.268801,10,R
14531081.7502,11,R
14531192.109639,12,R
14531217.403702,13,R
14531238.124742,14,R
14531256.609696,15,R
14531274.246778,16,R
14531291.584403,17,R
14531311.648048,18,R
14531335.43601,19,R
14531358.14303,20,R
14531381.384206,21,R
14531405.250593,22,R
14531451.861961,23,R
14531560.232865,22,L
14531590.080839,21,L
14531609.666845,20,L
14531626.563183,19,L
14531646.094524,18,L
14531670.490826,17,L
14531692.409009,16,L
14531708.724413,15,L
14531722.818583,14,L
14531739.107228,13,L
14531803.308883,14,R
14531836.056003,15,R
14531879.077331,16,R
14531900.422322,17,R
14531927.635698,18,R
14531991.310937,19,R
14532012.365564,20,R
14532026.052797,21,R
14532036.221654,22,R
14532045.178498,23,R
14532053.377227,24,R
14532060.575938,25,R
14532067.332529,26,R
14532073.828735,27,R
14532080.191333,28,R
14532086.51771,29,R
14532092.99388,30,R
14532099.634584,31,R
14532106.631429,32,R
14532114.236188,33,R
14532122.962443,34,R
14532133.278872,35,R
14532147.529427,36,R
14532173.557975,37,R
14532198.022553,38,R
14532214.698765,39,R
14532227.538292,40,R
14532237.198937,41,R
14532245.337056,42,R
14532252.522361,43,R
14532258.97092,44,R
14532264.845342,45,R
14532270.364531,46,R
14532275.664983,47,R
14532280.799124,48,R
14532285.807415,49,R
14532290.761726,50,R
14532295.681204,51,R
14532300.624496,52,R
14532305.672935,53,R
14532310.894074,54,R
14532316.309524,55,R
14532321.98982,56,R
14532327.952093,57,R
14532334.417708,58,R
14532341.716991,59,R
14532350.306342,60,R
14532360.833989,61,R
14532382.113333,62,R
14532422.618876,61,L
14532454.727824,62,R
14532464.774072,63,R
14532472.547346,64,R
14532479.258919,65,R
14532485.3523,66,R
14532490.995227,67,R
14532496.260106,68,R
14532501.416006,69,R
14532506.397594,70,R
14532511.371959,71,R
14532516.134533,72,R
14532520.896959,73,R
14532525.604108,74,R
14532535.271567,75,R
14532540.074788,76,R
14532544.760253,77,R
14532549.444606,78,R
14532554.212476,79,R
14532558.943161,80,R
14532563.72292,81,R
14532568.570566,82,R
14532573.407583,83,R
14532578.325635,84,R
14532583.043747,85,R
14532587.573714,86,R
14532592.120199,87,R
14532596.547594,88,R
14532600.977675,89,R
14532605.358293,90,R
14532609.680431,91,R
14532613.929089,92,R
14532618.159987,93,R
14532622.460367,94,R
14532626.721858,95,R
14532630.960404,96,R
14532635.164693,97,R
14532639.452461,98,R
14532643.911337,99,R
14532648.417416,100,R
14532653.252766,101,R
14532657.907712,102,R
14532663.193405,103,R
14532669.269898,104,R
14532676.713234,105,R
14532686.49721,106,R
14532700.230942,107,R
14532718.94804,108,R
14532743.054496,109,R
14532773.222296,110,R
14532785.950677,111,R
14532794.569083,112,R
14532801.739129,113,R
14532807.993507,114,R
14532813.6556,115,R
14532818.909794,116,R
14532823.882234,117,R
14532828.639585,118,R
14532833.28181,119,R
14532837.907979,120,R
14532842.551388,121,R
14532847.295777,122,R
14532852.15496,123,R
14532857.17064,124,R
14532862.32691,125,R
14532867.699546,126,R
14532873.398694,127,R
14532879.670534,128,R
14532886.970855,129,R
14532896.619519,130,R
14532944.329792,129,L
14533010.1846,128,L
14533139.75748,127,L
14533193.666095,128,R
14533215.663203,129,R
14533301.945779,130,R
14533331.040712,131,R
14533401.03118,132,R
14533547.181792,133,R
14533599.25324,132,L
14533617.304906,131,L
14533630.875752,130,L
14533643.455266,129,L
14533654.327073,128,L
14533664.425024,127,L
14533674.180297,126,L
14533685.526038,125,L
14533712.316868,124,L
14533753.31729,125,R
14533776.998847,126,R
14533827.167109,125,L
14533840.344111,124,L
14533850.718149,123,L
14533860.207483,122,L
14533869.07268,121,L
14533878.00271,120,L
14533888.213881,119,L
14533901.516992,118,L
14533918.88169,117,L
14533940.467288,116,L
14534001.616114,115,L
14534041.092362,114,L
14534069.889004,113,L
14534104.511385,112,L
14534200.237907,113,R
14534273.978728,114,R
14534299.754466,115,R
14534317.69806,116,R
14534338.491932,117,R
14534411.095868,118,R
14534466.173627,119,R
14534547.850145,120,R
14534569.997862,121,R
14534584.037625,122,R
14534595.98941,123,R
14534606.781792,124,R
14534616.649433,125,R
14534625.473909,126,R
14534633.211592,127,R
14534640.297194,128,R
14534647.138394,129,R
14534653.831634,130,R
14534660.33984,131,R
14534666.792418,132,R
14534673.313217,133,R
14534680.122158,134,R
14534687.579328,135,R
14534696.245899,136,R
14534707.256166,137,R
14534727.001188,138,R
14534777.293967,139,R
14534910.720383,138,L
14535029.090852,137,L
14535048.666526,136,L
14535067.695988,135,L
14535087.181664,134,L
14535109.586042,133,L
14535211.409371,134,R
14535235.99378,135,R
14535252.997615,136,R
14535269.262409,137,R
14535290.864562,138,R
14535316.088255,139,R
14535341.16971,140,R
14535360.232413,141,R
14535376.458763,142,R
14535391.841481,143,R
14535408.994536,144,R
14535429.791667,145,R
14535457.882082,146,R
14535534.022172,145,L
14535562.433432,144,L
14535654.961906,145,R
14535730.120866,146,R
14535766.922148,147,R
14535783.907909,148,R
14535796.284372,149,R
14535806.077866,150,R
14535814.381482,151,R
14535822.059647,152,R
14535829.280895,153,R
14535836.182538,154,R
14535843.066515,155,R
14535849.343893,156,R
14535855.729305,157,R
14535861.977405,158,R
14535868.240617,159,R
14535874.660788,160,R
14535881.042978,161,R
14535887.313374,162,R
14535893.885376,163,R
14535900.584004,164,R
14535907.47187,165,R
14535914.629564,166,R
14535922.105659,167,R
14535930.17215,168,R
14535938.871184,169,R
14535948.123744,170,R
14535957.931238,171,R
14535968.039837,172,R
14535978.371395,173,R
14535988.334256,174,R
14535997.92468,175,R
14536007.315275,176,R
14536016.514114,177,R
14536025.653084,178,R
14536034.810702,179,R
14536043.910561,180,R
14536052.90046,181,R
14536061.527051,182,R
14536070.355138,183,R
14536080.117466,184,R
14536091.639242,185,R
14536106.529044,186,R
14536123.940056,187,R
14536139.427976,188,R
14536151.339151,189,R
14536160.981241,190,R
14536169.280728,191,R
14536176.545234,192,R
14536182.989664,193,R
14536188.983288,194,R
14536194.534105,195,R
14536199.848835,196,R
14536204.993031,197,R
14536209.942509,198,R
14536214.77097,199,R
14536219.775243,200,R
14536224.355302,201,R
14536229.184856,202,R
14536234.123537,203,R
14536239.235734,204,R
14536244.694905,205,R
14536250.451774,206,R
14536256.536119,207,R
14536262.940197,208,R
14536269.612864,209,R
14536276.533469,210,R
14536283.629942,211,R
14536290.941318,212,R
14536298.202732,213,R
14536305.475868,214,R
14536312.898927,215,R
14536320.768514,216,R
14536328.279701,217,R
14536336.097697,218,R
14536344.17865,219,R
14536353.546097,220,R
14536364.262129,221,R
14536377.702015,222,R
14536563.752331,223,R
14536597.53845,224,R
14536612.805912,225,R
14536623.701736,226,R
14536632.722209,227,R
14536640.659646,228,R
14536647.998114,229,R
14536655.075976,230,R
14536661.960176,231,R
14536668.825708,232,R
