time,details
17191693.413221,task start
17269166.676999,BuzzerOn
17269667.440787,BuzzerOff
17271428.786693,BlankOn
17271929.392024,BlankOff
17273431.252671,NoWaterOn
17273531.638806,NoWaterOff
17285631.562093,BuzzerOn
17286132.222242,BuzzerOff
17287720.275096,BlankOn
17288220.914898,BlankOff
17289723.71566,WaterOn
17289823.972358,WaterOff
17302336.267961,BuzzerOn
17302836.881009,BuzzerOff
17304614.738426,BlankOn
17305115.401883,BlankOff
17306617.775918,WaterOn
17306718.039548,WaterOff
17323408.054177,BuzzerOn
17323908.650479,BuzzerOff
17325560.033618,BlankOn
17326060.668441,BlankOff
17327562.639283,WaterOn
17327662.870975,WaterOff
17340476.184055,BuzzerOn
17340976.920008,BuzzerOff
17342601.679278,BlankOn
17343101.884967,BlankOff
17344602.1609,NoWaterOn
17344702.290285,NoWaterOff
17359828.186289,BuzzerOn
17360328.790291,BuzzerOff
17361695.528482,BlankOn
17362196.220558,BlankOff
17363696.571144,WaterOn
17363796.792884,WaterOff
17376103.225369,BuzzerOn
17376603.373051,BuzzerOff
17378111.156098,BlankOn
17378611.777847,BlankOff
17380113.552526,WaterOn
17380213.74716,WaterOff
17394340.852716,BuzzerOn
17394841.455024,BuzzerOff
17396523.228607,BlankOn
17397023.831714,BlankOff
17398525.589706,NoWaterOn
17398625.784141,NoWaterOff
17413168.060014,BuzzerOn
17413668.736882,BuzzerOff
17415232.189698,BlankOn
17415732.851994,BlankOff
17417234.717055,WaterOn
17417335.049936,WaterOff
17434077.257427,BuzzerOn
17434577.359573,BuzzerOff
17435899.964699,BlankOn
17436400.638149,BlankOff
17437900.966391,WaterOn
17438001.206575,WaterOff
17453954.040629,BuzzerOn
17454454.971114,BuzzerOff
17455859.067075,BlankOn
17456359.700012,BlankOff
17457861.441591,WaterOn
17457961.633689,WaterOff
17470988.060244,BuzzerOn
17471488.229912,BuzzerOff
17473268.183724,BlankOn
17473768.408875,BlankOff
17475268.684894,WaterOn
17475368.826182,WaterOff
17489676.042169,BuzzerOn
17490176.234097,BuzzerOff
17491410.527971,BlankOn
17491911.219354,BlankOff
17493413.005198,WaterOn
17493513.200656,WaterOff
17506828.081141,BuzzerOn
17507328.771208,BuzzerOff
17508578.093841,BlankOn
17509078.264993,BlankOff
17510580.122298,WaterOn
17510680.324722,WaterOff
17523200.101989,BuzzerOn
17523700.733814,BuzzerOff
17524972.108082,BlankOn
17525472.708724,BlankOff
17526974.510061,NoWaterOn
17527074.720488,NoWaterOff
17540620.077917,BuzzerOn
17541120.682186,BuzzerOff
17542525.898122,BlankOn
17543026.506874,BlankOff
17544528.285411,WaterOn
17544628.472435,WaterOff
17556896.979066,BuzzerOn
17557397.854178,BuzzerOff
17558884.193603,BlankOn
17559384.804537,BlankOff
17560886.5524,NoWaterOn
17560986.740686,NoWaterOff
17577412.044334,BuzzerOn
17577912.193647,BuzzerOff
17579320.308584,BlankOn
17579821.028665,BlankOff
17581322.938062,WaterOn
17581423.208609,WaterOff
17594922.415244,BuzzerOn
17595423.103154,BuzzerOff
17597048.297608,BlankOn
17597549.016519,BlankOff
17599049.398235,WaterOn
17599149.737598,WaterOff
17617080.69931,BuzzerOn
17617580.841324,BuzzerOff
17618993.115016,BlankOn
17619493.780947,BlankOff
17620995.79713,WaterOn
17621096.325846,WaterOff
17638400.047216,BuzzerOn
17638900.648941,BuzzerOff
17640526.962658,BlankOn
17641027.157616,BlankOff
17642528.452163,WaterOn
17642628.757886,WaterOff
17660276.118292,BuzzerOn
17660776.838829,BuzzerOff
17662448.199446,BlankOn
17662948.822801,BlankOff
17664449.159455,WaterOn
17664549.359796,WaterOff
17680638.624433,BuzzerOn
17681139.3318,BuzzerOff
17682458.297561,BlankOn
17682958.91958,BlankOff
17684460.848099,NoWaterOn
17684561.140903,NoWaterOff
17697464.059475,BuzzerOn
17697964.682041,BuzzerOff
17699593.980899,BlankOn
17700094.647318,BlankOff
17701596.595467,WaterOn
17701696.890737,WaterOff
17719650.310806,BuzzerOn
17720150.936147,BuzzerOff
17721671.969663,BlankOn
17722172.732484,BlankOff
17723674.764159,WaterOn
17723775.155523,WaterOff
17736218.729205,BuzzerOn
17736719.333613,BuzzerOff
17738315.540657,BlankOn
17738816.144789,BlankOff
17740317.925447,NoWaterOn
17740418.134705,NoWaterOff
17800480.046007,task end
