time,details
7614837.443225,task start
7638209.842228,BuzzerOn
7638310.033947,BuzzerOff
7639532.267563,BlankOn
7640032.898407,BlankOff
7641534.67709,NoWaterOn
7641594.833736,NoWaterOff
7655048.110747,BuzzerOn
7655148.43302,BuzzerOff
7656591.975381,VerticalPuffOn
7657092.193329,VerticalPuffOff
7658593.96491,WaterOn
7658654.112963,WaterOff
7676541.778247,BuzzerOn
7676642.031263,BuzzerOff
7678192.186737,VerticalPuffOn
7678692.8007,VerticalPuffOff
7680194.58368,WaterOn
7680254.723364,WaterOff
7694250.684686,BuzzerOn
7694350.898777,BuzzerOff
7696137.377039,BlankOn
7696637.959412,BlankOff
7698140.089655,NoWaterOn
7698200.249894,NoWaterOff
7716036.031353,BuzzerOn
7716136.215761,BuzzerOff
7717694.373588,VerticalPuffOn
7718194.952317,VerticalPuffOff
7719696.758669,WaterOn
7719756.946426,WaterOff
7737576.990038,BuzzerOn
7737677.245426,BuzzerOff
7738884.935203,BlankOn
7739385.532545,BlankOff
7740887.361351,NoWaterOn
7740947.6032,NoWaterOff
7753024.038508,BuzzerOn
7753124.3041,BuzzerOff
7754774.745907,VerticalPuffOn
7755275.522193,VerticalPuffOff
7756778.218508,WaterOn
7756840.166104,WaterOff
7771148.932961,BuzzerOn
7771249.205887,BuzzerOff
7772683.502397,BlankOn
7773184.217798,BlankOff
7774686.110821,NoWaterOn
7774746.319894,NoWaterOff
7790938.040057,BuzzerOn
7791038.263744,BuzzerOff
7792447.649908,VerticalPuffOn
7792948.132353,VerticalPuffOff
7794450.102586,WaterOn
7794510.2929,WaterOff
7806551.73785,BuzzerOn
7806651.940482,BuzzerOff
7808348.19143,BlankOn
7808848.954668,BlankOff
7810350.817225,NoWaterOn
7810410.975077,NoWaterOff
7825048.039157,BuzzerOn
7825148.216846,BuzzerOff
7826717.177411,VerticalPuffOn
7827217.796395,VerticalPuffOff
7828718.212262,WaterOn
7828778.373226,WaterOff
7846596.114564,BuzzerOn
7846696.395806,BuzzerOff
7847937.743942,VerticalPuffOn
7848438.332578,VerticalPuffOff
7849940.412737,WaterOn
7850000.755883,WaterOff
7866806.938525,BuzzerOn
7866908.230879,BuzzerOff
7868688.554432,VerticalPuffOn
7869189.181458,VerticalPuffOff
7870689.574008,WaterOn
7870749.800286,WaterOff
7885114.315106,BuzzerOn
7885214.491741,BuzzerOff
7886604.635533,BlankOn
7887105.26845,BlankOff
7888607.198274,NoWaterOn
7888667.413941,NoWaterOff
7906004.359003,BuzzerOn
7906104.547711,BuzzerOff
7907814.158065,VerticalPuffOn
7908314.366547,VerticalPuffOff
7909816.198955,WaterOn
7909876.3919,WaterOff
7924544.714652,BuzzerOn
7924644.894232,BuzzerOff
7926232.288734,VerticalPuffOn
7926732.930821,VerticalPuffOff
7928234.803567,WaterOn
