time,details
11808765.754254,task start
11835296.044547,BuzzerOn
11835396.239257,BuzzerOff
11836821.717568,VerticalPuffOn
11837322.385182,VerticalPuffOff
11838824.700518,WaterOn
11838884.940764,WaterOff
11851145.58976,BuzzerOn
11851245.788989,BuzzerOff
11852759.144897,VerticalPuffOn
11853259.727644,VerticalPuffOff
11854761.531938,NoWaterOn
11854821.642594,NoWaterOff
11872355.01508,BuzzerOn
11872455.221087,BuzzerOff
11874022.039209,BlankOn
11874522.730159,BlankOff
11876024.656252,NoWaterOn
11876084.910221,NoWaterOff
11890883.640822,BuzzerOn
11890983.905698,BuzzerOff
11892593.458589,BlankOn
11893094.073894,BlankOff
11894596.059991,NoWaterOn
11894656.279071,NoWaterOff
11909754.298932,BuzzerOn
11909854.548458,BuzzerOff
11911607.802833,BlankOn
11912108.555785,BlankOff
11913610.702031,NoWaterOn
11913671.155793,NoWaterOff
11925824.066744,BuzzerOn
11925924.197679,BuzzerOff
11927712.737205,VerticalPuffOn
11928212.824874,VerticalPuffOff
11929714.94981,WaterOn
11929775.109133,WaterOff
11944368.09124,BuzzerOn
11944468.212843,BuzzerOff
11945690.024854,BlankOn
11946190.699884,BlankOff
11947692.544404,NoWaterOn
11947752.69419,NoWaterOff
11965300.207462,BuzzerOn
11965400.418304,BuzzerOff
11966619.409224,VerticalPuffOn
11967119.561339,VerticalPuffOff
11968621.332143,WaterOn
11968681.490114,WaterOff
11984788.111478,BuzzerOn
11984888.376467,BuzzerOff
11986587.790011,VerticalPuffOn
11987088.085199,VerticalPuffOff
11988590.080835,WaterOn
11988650.234122,WaterOff
12002240.93993,BuzzerOn
12002341.145772,BuzzerOff
12003780.117532,VerticalPuffOn
12004280.70279,VerticalPuffOff
12005784.221401,WaterOn
12005844.445056,WaterOff
12019865.771646,BuzzerOn
12019966.027655,BuzzerOff
12021622.445113,VerticalPuffOn
12022123.076261,VerticalPuffOff
12023625.152995,WaterOn
12023685.294078,WaterOff
12038144.046156,BuzzerOn
12038244.187297,BuzzerOff
12039696.16139,BlankOn
12040196.811723,BlankOff
12041698.694095,NoWaterOn
12041758.936417,NoWaterOff
12055634.919211,BuzzerOn
12055735.103795,BuzzerOff
12057178.263762,VerticalPuffOn
12057678.876153,VerticalPuffOff
12059180.67901,NoWaterOn
12059240.846019,NoWaterOff
12074150.892077,BuzzerOn
12074251.106253,BuzzerOff
12075458.784905,VerticalPuffOn
12075959.376185,VerticalPuffOff
12077461.14151,WaterOn
12077521.285056,WaterOff
12092711.539303,BuzzerOn
12092811.797479,BuzzerOff
